,Character,dialogue,season,chapter
2882,Catelyn Stark, You will be taking on his son Olyvar as your personal squire. He expects a knighthood in good time.,1,9
2883,Robb Stark," Fine, fine. And?",1,9
2884,Catelyn Stark, And Arya will marry his son Waldron when they both come of age.,1,9
2885,Robb Stark, She won't be happy about that. And?,1,9
2886,Catelyn Stark, And when the fighting is done you will marry one of his daughters. Whichever you prefer. He has a number he thinks will be suitable.,1,9
2887,Robb Stark, l see. Did you get a look at his daughters?,1,9
2888,Catelyn Stark, l did.,1,9
2889,Robb Stark, And?,1,9
2890,Catelyn Stark, One was – Do you consent?,1,9
2891,Robb Stark, Can l refuse?,1,9
2892,Catelyn Stark, Not if you want to cross.,1,9
2893,Robb Stark, Then l consent.,1,9
2894,Jon Snow, Sam said you wanted to see me?,1,9
2895,Maester Aemon," l did indeed. Perhaps you would be kind enough to assist me. Tell me, did you ever wonder why the men of the Night's Watch take no wives and father no children?",1,9
2896,Jon Snow, No.,1,9
2897,Maester Aemon," So they will not love. Love is the death of duty. lf the day should ever come when your lord father was forced to choose between honor on the one hand and those he loves on the other, what would he do?",1,9
2898,Jon Snow," He would do whatever was right, no matter what.",1,9
2899,Maester Aemon," Then Lord Stark is one man in 10,000. Most of us are not so strong. What is honor compared to a woman's love? And what is duty against the feel of a newborn son in your arms? Or a brother's smile?",1,9
2900,Jon Snow, Sam told you.,1,9
2901,Maester Aemon," We're all human. Oh, we all do our duty when there's no cost to it. Honor comes easy then. Yet sooner or later in every man's life there comes a day when it is not easy. A day when he must choose.",1,9
2902,Jon Snow, And this is my day? ls that what you're saying?,1,9
2903,Maester Aemon," Oh, it hurts, boy. Oh, yes. l know.",1,9
2904,Jon Snow," You do not know. No one knows. l may be a bastard, but he is my father and Robb is my brother.",1,9
2905,Maester Aemon," The gods were cruel when they saw fit to test my vows. They waited till l was old. What could l do when the ravens brought the news from the South: the ruin of my House, the death of my family? l was helpless, blind, frail. But when l heard they had killed my brother's son and his poor son and the children! Even the little children.",1,9
2906,Maester Aemon," The gods were cruel when they saw fit to test my vows. They waited till l was old. What could l do when the ravens brought the news from the South: the ruin of my House, the death of my family? l was helpless, blind, frail. But when l heard they had killed my brother's son and his poor son and the children! Even the little children.",1,9
2907,Jon Snow, Who are you?,1,9
2908,Maester Aemon," My father was Maekar, the first of his name. My brother Aegon reigned after him when l had refused the throne. And he was followed by his son Aerys whom they called the Mad King.",1,9
2909,Jon Snow, You're Aemon Targaryen.,1,9
2910,Maester Aemon," l'm a maester of the Citadel, bound in service to Castle Black and the Night's Watch. l will not tell you to stay or go. You must make that choice yourself and live with it for the rest of your days. As l have.",1,9
2911,Daenerys Targaryen, (in Dothraki) My lord… My sun and stars… Drogo.,1,9
2912,Khal Drogo, (in Dothraki) My horse…,1,9
2913,Cohollo, (in Dothraki) Blood of my blood…,1,9
2914,Khal Drogo," (in Dothraki) No, l must ride.",1,9
2915,Qotho, (in Dothraki) He fell from his horse. A Khal who cannot ride is no Khal.,1,9
2916,Daenerys Targaryen," (in Dothraki) He's tired, that's all. He needs to rest. We've ridden far enough today. We'll camp here.",1,9
2917,Qotho, (in Dothraki) This is no place to camp. A woman does not give us orders. Not even a Khaleesi.,1,9
2918,Daenerys Targaryen, (in Dothraki) We'll camp here. Tell them Khal Drogo commanded it.,1,9
2919,Qotho," (in Dothraki) You do not command me, Khaleesi.",1,9
2920,Daenerys Targaryen, (in Dothraki) Find Mirri Maz Duur. Bring her to me.,1,9
2921,Qotho," (in Dothraki) The witch? l'll bring you her head, Khaleesi.",1,9
2922,Daenerys Targaryen, (in Dothraki) Bring her to me unharmed or Khal Drogo will hear why you denied me.,1,9
2923,Qotho, (in Dothraki) Hyah! Hyah!,1,9
2924,Kevan Lannister, Our scouts tell us the Stark host has moved south from the Twins with Lord Frey's levies in tow. They're a day's march north.,1,9
2925,Tywin Lannister," The boy may lack experience and sense, but he does have a certain mindless provincial courage.",1,9
2926,Tyrion Lannister," Oh, do continue. Didn't mean to interrupt.",1,9
2927,Tywin Lannister," l do hope your savages are going to be of some use, otherwise we've wasted good steel on them.",1,9
2928,Kevan Lannister," The great hairy one insisted he must have two battleaxes. Heavy black steel, double-sided.",1,9
2929,Tyrion Lannister, Shagga likes axes.,1,9
2930,Tywin Lannister," When the battle commences, you and your wildlings will be in the vanguard.",1,9
2931,Tyrion Lannister, The vanguard? Me and the tribesmen on the front lines?,1,9
2932,Kevan Lannister, They do seem rather ferocious.,1,9
2933,Tyrion Lannister," Ferocious? Last night a Moon Brother stabbed a Stone Crow over a sausage. Three Stone Crows seized the Moon Brother and opened his throat. Bronn managed to keep Shagga from chopping off the dead man's cock, which was fortunate, but even still, Ulf is demanding blood money, which Shagga and Gunthor refuse to pay.",1,9
2934,Tywin Lannister," When soldiers lack discipline, the fault lies with their commander.",1,9
2935,Tyrion Lannister, Surely there are ways to have me killed that would be less detrimental to the war effort.,1,9
2936,Tywin Lannister, There'll be no more discussion on the matter.,1,9
2937,Tyrion Lannister," lt appears l'm not hungry after all. Excuse me, my lords.",1,9
2938,Tyrion Lannister, Where did you find one so pretty at this hour?,1,9
2939,Bronn Of The Blackwater, l took her.,1,9
2940,Tyrion Lannister, Took her? From whom?,1,9
2941,Bronn Of The Blackwater," From, uh, Ser What's-his-name? l don't know. Ginger cunt, three tents down.",1,9
2942,Tyrion Lannister, And he didn't have anything to say about it?,1,9
2943,Bronn Of The Blackwater, He said something.,1,9
2944,Tyrion Lannister," Well, the odds of me living long enough for him to retaliate have just dropped drastically. We'll be at the vanguard tomorrow.",1,9
2945,Bronn Of The Blackwater," Oh, well. l, uh, think l'll go and find myself one.",1,9
2946,Tyrion Lannister, Who are you?,1,9
2947,Prostitute, Who would you like me to be?,1,9
2948,Tyrion Lannister, What did your mother call you?,1,9
2949,Prostitute, Shae. What did your mother call you?,1,9
2950,Tyrion Lannister, My mother died giving birth to me.,1,9
2951,Shae, ls that why l'm here? So we can talk about our mothers?,1,9
2952,Tyrion Lannister, What sort of accent is that?,1,9
2953,Shae, Foreign.,1,9
2954,Tyrion Lannister, For-,1,9
2955,Shae, What do you want from me?,1,9
2956,Tyrion Lannister," What do l want from you? l want you to share my tent. l want you to pour my wine, laugh at my jokes, rub my legs when they're sore after a day's ride. l want you to take no other man to bed for as long as we're together. And l want you to fuck me like it's my last night in this world. Which it may well be.",1,9
2957,Shae, And what do l get?,1,9
2958,Tyrion Lannister," One - safety. No one will hurt you for as long as you're mine. Two - the pleasure of my company, which l have heard is spectacular.",1,9
2959,Shae, Who told you this? Women you paid?,1,9
2960,Tyrion Lannister, And three - more gold than you can spend if you lived a thousand years. Do you accept my proposal?,1,9
2961,Shae, Let's start with your last night in this world.,1,9
2962,Jorah Mormont, Khaleesi.,1,9
2963,Daenerys Targaryen, Come. He's very strong. No one understands how strong he is.,1,9
2964,Jorah Mormont," He will die tonight, Khaleesi.",1,9
2965,Daenerys Targaryen, He can't. He can't. l won't let him.,1,9
2966,Jorah Mormont, Even a queen doesn't have that power. We must go quickly. l've heard there's a good port in Asshai.,1,9
2967,Daenerys Targaryen, l won't leave him.,1,9
2968,Jorah Mormont," He's already gone, Khaleesi.",1,9
2969,Daenerys Targaryen," Even if he dies, why would l run? l am khaleesi, and my my son will be khal after Drogo.",1,9
2970,Jorah Mormont," This isn't Westeros, where men honor blood. Here they only honor strength. There will be fighting after Drogo dies. Whoever wins that fight will be the new khal. He won't want any rivals. Your boy will be plucked from your breast and given to the dogs.",1,9
2971,Daenerys Targaryen, l won't leave him.,1,9
2972,Mirri Maz Duur, The wound has festered.,1,9
2973,Qotho," (in Dothraki) You did this, witch. (pulls a dagger out of its sheath)",1,9
2974,Daenerys Targaryen, (in Dothraki) Stop it! l don't want her hurt.,1,9
2975,Qotho," (in Dothraki) No? No? You don't want her hurt? Pray we don't hurt you, too. You let this witch put her hands on our Khal.",1,9
2976,Jorah Mormont, (in Dothraki) Rein in your tongue. She is still your Khaleesi.,1,9
2977,Qotho," (in Dothraki) Only while the blood of my blood lives. When he dies, she is nothing.",1,9
2978,Daenerys Targaryen, (in Dothraki) l have never been nothing. l am the blood of the dragon.,1,9
2979,Qotho," (in Dothraki) The dragons are all dead, Khaleesi.",1,9
2980,Daenerys Targaryen," l think you should wear your armor tonight, ser.",1,9
2981,Jorah Mormont, l think you're right.,1,9
2982,Mirri Maz Duur, You've saved me once more.,1,9
2983,Daenerys Targaryen, And now you must save him.,1,9
2984,Mirri Maz Duur, He's beyond the healer's skills. All l can do is ease his path.,1,9
2985,Daenerys Targaryen, Save him and l will free you. l swear it. You must know a way. Some – some magic.,1,9
2986,Mirri Maz Duur, There is a spell. Some would say death is cleaner.,1,9
2987,Daenerys Targaryen, Do it. Save him.,1,9
2988,Mirri Maz Duur, There is a price.,1,9
2989,Daenerys Targaryen," You'll have gold, whatever you want.",1,9
2990,Mirri Maz Duur, lt's not a matter of gold. This is blood magic. Only death pays for life.,1,9
2991,Daenerys Targaryen, My death?,1,9
2992,Mirri Maz Duur," No, not your death, Khaleesi. Bring me his horse.",1,9
2993,Rakharo," Khaleesi, do not do this thing. Let me kill this witch.",1,9
2994,Daenerys Targaryen, Kill her and you kill your khal.,1,9
2995,Rakharo, This is blood magic. lt is forbidden.,1,9
2996,Daenerys Targaryen, l am your khaleesi. l tell you what is forbidden.,1,9
2997,Mirri Maz Duur, Go. Now.,1,9
2998,Daenerys Targaryen, Take her and leave. Take her!,1,9
2999,Mirri Maz Duur," You must go also, lady. Once l begin to sing, no one must enter the tent. The dead will dance here tonight.",1,9
3000,Daenerys Targaryen, No one will enter.,1,9
3001,Daenerys Targaryen, Bring him back to me.,1,9
3002,Daenerys Targaryen, l have to save him.,1,9
3003,Qotho, (in Dothraki) This must not be.,1,9
3004,Daenerys Targaryen, (in Dothraki) This must be.,1,9
3005,Qotho, (in Dothraki) Witch.,1,9
3006,Rakharo, (in Dothraki) Nothing good will come of this.,1,9
3007,Daenerys Targaryen," (in Dothraki) No, you can't.",1,9
3008,Irri, Khaleesi!,1,9
3009,Jorah Mormont," (in Dothraki) No further, horselord.",1,9
3010,Jorah Mormont, Are you hurt?,1,9
3011,Daenerys Targaryen, The baby –,1,9
3012,Jorah Mormont, Hmm?,1,9
3013,Daenerys Targaryen, … is coming.,1,9
3014,Jorah Mormont, Fetch the midwives.,1,9
3015,Rakharo, They will not come. They say she is cursed.,1,9
3016,Jorah Mormont, They'll come or l'll have their heads.,1,9
3017,Rakharo, The witch - she can bring baby. l hear her say so.,1,9
3018,Shae," Are you in agony, my lion?",1,9
3019,Tyrion Lannister, No.,1,9
3020,Shae, You look like you're in agony. The fire is burning your pretty soft skin.,1,9
3021,Tyrion Lannister," Ah! Damn you, woman. Are you immune to pain?",1,9
3022,Shae, Just used to it.,1,9
3023,Bronn Of The Blackwater, Drink.,1,9
3024,Tyrion Lannister, Let's play a new game.,1,9
3025,Bronn Of The Blackwater, There's a Braavosi knife game l could teach you.,1,9
3026,Tyrion Lannister, Does it involve the potential for losing fingers?,1,9
3027,Bronn Of The Blackwater, Not if you win.,1,9
3028,Tyrion Lannister," No! No fire games, no knife games. Let's do something l'm good at.",1,9
3029,Shae, What are you good at?,1,9
3030,Tyrion Lannister, l happen to be a great judge of character.,1,9
3031,Bronn Of The Blackwater, This sounds like a boring game.,1,9
3032,Tyrion Lannister," lt's not. Here's how it works - l make a statement about your past. lf l'm right, you drink. lf l'm wrong, l drink. And no lying. l'll know if you're lying.",1,9
3033,Shae, l don't want to play this game.,1,9
3034,Tyrion Lannister, Fine. Bronn first. Your father beat you.,1,9
3035,Bronn Of The Blackwater, But my mother hit harder.,1,9
3036,Tyrion Lannister, You killed your first man before you were 12.,1,9
3037,Bronn Of The Blackwater," lt was a woman. (Tyrion drinks. Shae looks at Bronn, surprised.) She swung an axe at me.",1,9
3038,Tyrion Lannister, You've been north of the Wall.,1,9
3039,Shae, What brought you up there?,1,9
3040,Bronn Of The Blackwater, Work.,1,9
3041,Tyrion Lannister," And you once loved a woman many years ago, but it turned out badly so you've never let yourself love again. Oh, wait, that's me. (Tyrion drinks) Your turn, my mysterious foreign beauty.",1,9
3042,Shae, l don't want to play.,1,9
3043,Tyrion Lannister, lt's fun! Look at the fun we're having. Your mother was a whore.,1,9
3044,Shae, Drink.,1,9
3045,Tyrion Lannister," All right. Your father left the family when you were very young, never to return.",1,9
3046,Shae, Drink.,1,9
3047,Tyrion Lannister, And we've established the rules about lying?,1,9
3048,Shae, Drink!,1,9
3049,Tyrion Lannister, You wanted a different life. You came from somewhere and you wanted to be elsewhere.,1,9
3050,Bronn Of The Blackwater, The whole shit-stained world could drink off that one.,1,9
3051,Tyrion Lannister," So, specifics… You wanted to be elsewhere, but how would you get there? l don't believe the life of the Silent Sisters is for you. So, what's a lowborn girl to do?",1,9
3052,Shae, Drink.,1,9
3053,Tyrion Lannister, Are you sure –,1,9
3054,Shae," Drink! And don't talk about my mother and father ever, or l will carve your eyes from your head.",1,9
3055,Tyrion Lannister," My dear lady, if l have offended you, l apologize.",1,9
3056,Shae, My turn.,1,9
3057,Tyrion Lannister," Fine, fine. Ask away. Try to penetrate the enigma that is me.",1,9
3058,Shae, Who were you in love with?,1,9
3059,Tyrion Lannister, That's not how the game works.,1,9
3060,Shae, l don't care the way the game works.,1,9
3061,Bronn Of The Blackwater, Our lord here used to be married.,1,9
3062,Shae, Married?,1,9
3063,Tyrion Lannister, How did you hear that?,1,9
3064,Bronn Of The Blackwater, You hear lots of things playing dice with Lannister soldiers.,1,9
3065,Tyrion Lannister," Another night, perhaps.",1,9
3066,Shae, Not another night. This night.,1,9
3067,Tyrion Lannister, lt's not a pleasant story.,1,9
3068,Shae," Oh, maybe l will cry.",1,9
3069,Bronn Of The Blackwater, l'm guessing the lady and l can tell more unpleasant stories than your lordship.,1,9
3070,Tyrion Lannister," So l was 16. My brother Jaime and l were riding, when we heard a scream. She ran out onto the road, clothes half torn off, with two men on her heels. Jaime scared away the men easily enough, while l wrapped her in my cloak. She was too scared to send off on her own, so while Jaime hunted down the rapers l took her to the nearest inn and fed her. Her name was Tysha. She was a wheelwright's orphan. And she was hungry. Together we finished off three chickens and a flagon of wine. lmpossible as it seems, there was a time when l was unaccustomed to wine. l forgot how afraid l was around girls. how l was always waiting for them to laugh at me or look away embarrassed, or ask me about my tall, handsome brother. l forgot about everything but Tysha. And somehow l found myself in her bed.",1,9
3071,Bronn Of The Blackwater," For three chickens, l should hope so.",1,9
3072,Tyrion Lannister," lt didn't last long. l didn't know what the hell l was doing. But she was good to me. She kissed me afterwards and sang me a song. And by morning l was deep enough in love to ask for her hand. A few lies, a few gold coins, one drunken septon and there you have it - man and wife. For a fortnight anyway, until the septon sobered up and told my father.",1,9
3073,Bronn Of The Blackwater," Well, l imagine that was the end of all that.",1,9
3074,Tyrion Lannister," Not quite. First, my father had Jaime tell me the truth. The girl was a whore, you see. Jaime had arranged the whole thing - the road, the rapers, all of it. He thought it was time l had a woman. After my brother confessed, my father brought in my wife and gave her to his guards. He paid her well - a silver for each man. How many whores command that kind of price? He brought me into the barracks and made me watch. By the end, she had so much silver that the coins were slipping through her fingers and rolling on to the floor.",1,9
3075,Bronn Of The Blackwater, l would have killed the man who did that to me.,1,9
3076,Shae, You should have known she was a whore.,1,9
3077,Tyrion Lannister," Really? l was 16, drunk and in love.",1,9
3078,Shae, A girl who was almost raped doesn't invite another man into her bed two hours later.,1,9
3079,Tyrion Lannister," As l said, l was young and stupid.",1,9
3080,Shae, You are still young and stupid.,1,9
3081,Tyrion Lannister, What is it? What do you want?,1,9
3082,Bronn Of The Blackwater, You're sleeping through the war.,1,9
3083,Tyrion Lannister, What?,1,9
3084,Bronn Of The Blackwater, They stole a night's march on us. They're a mile north.,1,9
3085,Tyrion Lannister, Get my squire!,1,9
3086,Bronn Of The Blackwater, You don't have a squire.,1,9
3087,Tyrion Lannister," lf l die, weep for me.",1,9
3088,Shae, You'll be dead. How will you know?,1,9
3089,Tyrion Lannister, l'll know.,1,9
3090,Lannister Soldier, Watch out! Move!,1,9
3091,Lannister Soldier, Out of the way! Move aside!,1,9
3092,Bronn Of The Blackwater, Stay low.,1,9
3093,Tyrion Lannister, Stay low?,1,9
3094,Bronn Of The Blackwater," lf you're lucky, no one will notice you.",1,9
3095,Tyrion Lannister," l was born lucky. Tribesmen of the Vale, gather round! Stone Crows! Black Ears! Burned Men! Moon Brothers! And Painted Dogs! Your dominion over the Vale begins now! Onward, to claim what is yours!",1,9
3096,Tribesmen Of The Vale, Half man! Half man! Half man! Half man! Half man! Half man!,1,9
3097,Tyrion Lannister, To battle!,1,9
3098,Bronn Of The Blackwater, You're a shit warrior.,1,9
3099,Tyrion Lannister, l'm alive?,1,9
3100,Bronn Of The Blackwater, You're alive.,1,9
3101,Tyrion Lannister, Did we win?,1,9
3102,Bronn Of The Blackwater, We wouldn't be having this conversation if we didn't.,1,9
3103,Tyrion Lannister, How did our tribesmen do?,1,9
3104,Bronn Of The Blackwater," Yeah, good.",1,9
3105,Tyrion Lannister, lt's nice to see them getting along.,1,9
3106,Tywin Lannister, You're wounded.,1,9
3107,Tyrion Lannister, Good of you to notice. l hear we won.,1,9
3108,Tywin Lannister," Huh! The scouts were wrong. There were 2,000 Stark bannermen, not 20 [thousand].",1,9
3109,Tyrion Lannister," Did we get the Stark boy, at least?",1,9
3110,Tywin Lannister, He wasn't here.,1,9
3111,Tyrion Lannister, Where was he?,1,9
3112,Tywin Lannister," With his other 18,000 men.",1,9
3113,Tyrion Lannister, And where are they?,1,9
3114,Rodrik Cassel," We should go, my lady.",1,9
3115,Catelyn Stark, No!,1,9
3116,Rodrik Cassel, My lady!,1,9
3117,Stark Bannermen, Hyah! Hyah!,1,9
3118,Robb Stark," By the time they knew what was happening, it had already happened.",1,9
3119,Jaime Lannister," Lady Stark. l'd offer you my sword, but l seem to have lost it.",1,9
3120,Catelyn Stark, lt is not your sword l want. Give me my daughters back. Give me my husband.,1,9
3121,Jaime Lannister," l've lost them too, l'm afraid.",1,9
3122,Theon Greyjoy," Kill him, Robb. Send his head to his father. He cut down ten of our men. You saw him.",1,9
3123,Robb Stark, He's more use to us alive than dead.,1,9
3124,Catelyn Stark, Take him away and put him in irons.,1,9
3125,Jaime Lannister," We could end this war right now, boy, save thousands of lives. You fight for the Starks, l fight for the Lannisters. Swords or lances, teeth, nails - choose your weapons and let's end this here and now.",1,9
3126,Robb Stark," lf we do it your way, Kingslayer, you'd win. We're not doing it your way.",1,9
3127,Greatjon Umber," Come on, pretty man.",1,9
3128,Robb Stark," l sent 2,000 men to their graves today.",1,9
3129,Theon Greyjoy, The bards will sing songs of their sacrifice.,1,9
3130,Robb Stark, Aye. But the dead won't hear them. (making a speech to his bannermen) One victory does not make us conquerors. Did we free my father? Did we rescue my sisters from the queen? Did we free the North from those who want us on our knees? This war is far from over.,1,9
3131,Arya Stark, Could l have one? A lemon one or any of them.,1,9
3132,King’S Landing Baker, Three coppers.,1,9
3133,Arya Stark, How about a nice fat pigeon?,1,9
3134,King’S Landing Baker," Oh, piss off now. Go on.",1,9
3135,Arya Stark, Do you have any stale ones from yesterday? Or any burnt ones?,1,9
3136,King’S Landing Baker, Piss off!,1,9
3137,Arya Stark," Hey, where's everyone going? What's happening?",1,9
3138,Street Urchin, They're taking him to the Sept of Baelor.,1,9
3139,Arya Stark, Who?,1,9
3140,Street Urchin, The Hand of the King.,1,9
3141,Populace, Traitor! Coward!,1,9
3142,Eddard Stark, Baelor!,1,9
3143,Populace, Traitor! Traitor!,1,9
3144,Eddard Stark," I am Eddard Stark, Lord of Winterfell and Hand of the King. I come before you to confess my treason in the sight of Gods and men. I betrayed the faith of my King and the trust of my friend Robert. I swore to protect and defend his children, but before his blood was cold I plotted to murder his son and seize the Throne for myself. Let the High Septon and Baelor the Blessed bear witness to what I say: Joffrey Baratheon is the one true heir to the Iron Throne, by the grace of all the Gods, Lord of the Seven Kingdoms and Protector of the Realm.",1,9
3145,Eddard Stark," I am Eddard Stark, Lord of Winterfell and Hand of the King. I come before you to confess my treason in the sight of Gods and men. I betrayed the faith of my King and the trust of my friend Robert. I swore to protect and defend his children, but before his blood was cold I plotted to murder his son and seize the Throne for myself. Let the High Septon and Baelor the Blessed bear witness to what I say: Joffrey Baratheon is the one true heir to the Iron Throne, by the grace of all the Gods, Lord of the Seven Kingdoms and Protector of the Realm.",1,9
3146,Grand Maester Pycelle," As we sin, so do we suffer. This man has confessed his crimes in sight of Gods and men. The Gods are just but beloved Baelor taught us they can also be merciful. What is to be done with this traitor, Your Grace?",1,9
3147,Joffrey Baratheon," My mother wishes me to let Lord Eddard join The Night's Watch. Stripped of all titles and powers, he would serve the realm in permanent exile. And My Lady Sansa has begged mercy for her father. But they have the soft hearts of women. So long as I am your King, treason shall never go unpunished. Ser Ilyn, bring me his head!",1,9
3148,Sansa Stark," No, stop! Please, someone stop him!",1,9
3149,Cersei Lannister," My son, this is madness.",1,9
3150,Populace, Put him down!,1,9
3151,Yoren, Don't look!,1,9
3152,Arya Stark, Let me go.,1,9
3153,Yoren, Shut your mouth. Look at me.,1,9
3154,Sansa Stark," Stop him, stop!",1,9
3155,Yoren," Look at me. Look at me! Do you remember me now, boy, eh? Remember me? There's a bright boy. You'll be coming with me, boy, and you'll be keeping your mouth shut.",1,10
3156,Yoren," Keep your mouth shut, boy. (takes out a knife)",1,10
3157,Arya Stark, l'm not a boy!,1,10
3158,Yoren," You're not a smart boy, is that what you're trying to say? Do you want to live, boy?! (starts cutting Arya’s hair as the screams and shouts from the crowd are heard above) North, boy, we're going north.",1,10
3159,Brann Stark," lt had three eyes. lt told me to come with him, so l did. We went down into the crypts and my father was there.",1,10
3160,Osha," Your father's not down there, little lord. Not for many years yet.",1,10
3161,Brann Stark, You're afraid. Just like Hodor.,1,10
3162,Osha, l'm not afraid of some hole in the ground.,1,10
3163,Brann Stark, You've lived beyond the Wall. What are you scared of? l'm a crippled boy and l'm willing to go.,1,10
3164,Brann Stark," That's my grandfather, Lord Rickard. He was burned alive by the Mad King, Aerys. That's Lyanna, my father's sister. King Robert was supposed to marry her, but Rhaegar Targaryen kidnapped her. Robert started a war to win her back. He killed Rhaegar, but she died anyway. That's where l saw Father.",1,10
3165,Osha, You see? He's not here.,1,10
3166,Rickon Stark," Here, Shaggydog.",1,10
3167,Brann Stark, Rickon!,1,10
3168,Osha, That beast is supposed to be chained in the kennels!,1,10
3169,Rickon Stark, He doesn't like chains.,1,10
3170,Brann Stark, What are you doing down here? Come back up with us.,1,10
3171,Rickon Stark," No, l came to see Father.",1,10
3172,Brann Stark, How many times have l told you? He's in King's Landing with Sansa and Arya.,1,10
3173,Rickon Stark, He was down here. l saw him.,1,10
3174,Brann Stark, Saw him when?,1,10
3175,Rickon Stark," Last night, when l was sleeping. Here, Shaggydog.",1,10
3176,Osha," You both miss him. lt's only natural he should be in your thoughts and dreams, but that doesn't mean that –",1,10
3177,Maester Luwin, Bran…,1,10
3178,Several Stark Bannermen, My lady. My lady. My lady.,1,10
3179,Catelyn Stark, Robb. Robb! You've ruined your sword.,1,10
3180,Catelyn Stark, Shh! Shh! Shh!,1,10
3181,Robb Stark, l'll kill them all. Every one of them. l will kill them all.,1,10
3182,Catelyn Stark, My boy. They have your sisters. We have to get the girls back. And then we will kill them all.,1,10
3183,Marillion, (singing),1,10
3184,Joffrey Baratheon, Very amusing. lsn't it a funny song? Thank you for your rendition. l imagine it was even better received at that tavern.,1,10
3185,Marillion," l'm so sorry, Your Grace. l'll never sing it again, l swear.",1,10
3186,Joffrey Baratheon," Tell me, which do you favor - your fingers or your tongue?",1,10
3187,Marillion, Your Grace?,1,10
3188,Joffrey Baratheon," Fingers or your tongue? lf you got to keep one, which would it be? Or l could just cut your throat.",1,10
3189,Marillion," Every man needs hands, Your Grace.",1,10
3190,Joffrey Baratheon, Good. Tongue it is.,1,10
3191,Marillion," Your Grace, please. l won't sing, Your Grace.",1,10
3192,Joffrey Baratheon," Ser llyn, who better than you to carry out the sentence?",1,10
3193,Marillion," l beg you! Please, no. No!",1,10
3194,Marillion," Your Grace, please. l beg you, l will never sing again! (screaming) No!",1,10
3195,Joffrey Baratheon," l'm done for the day. l'll leave the rest of the matters to you, Mother.",1,10
3196,Marillion," (screaming) Your Grace, please!",1,10
3197,Joffrey Baratheon, You look quite nice.,1,10
3198,Sansa Stark," Thank you, my lord.",1,10
3199,Joffrey Baratheon, Your Grace. l'm King now.,1,10
3200,Marillion, (screaming) Stop! No!,1,10
3201,Joffrey Baratheon, Walk with me. l want to show you something.,1,10
3202,Sandor Clegane," Do as you're bid, child.",1,10
3203,Joffrey Baratheon," And as soon as you've had your blood, l'll put a son in you. Mother says that shouldn't be long.",1,10
3204,Sansa Stark," No! Please, no!",1,10
3205,Joffrey Baratheon, (pointing at one of the heads) This one's your father. This one here. Look at it and see what happens to traitors.,1,10
3206,Sansa Stark, You promised to be merciful.,1,10
3207,Joffrey Baratheon, l was. l gave him a clean death. Look at him.,1,10
3208,Sansa Stark," Please let me go home. l won't do any treason, l swear –",1,10
3209,Joffrey Baratheon," Mother says l'm still to marry you. So you'll stay here, and obey. Look at him!",1,10
3210,Joffrey Baratheon, Well?,1,10
3211,Sansa Stark, How long do l have to look?,1,10
3212,Joffrey Baratheon, As long as it pleases me. Do you want to see the rest?,1,10
3213,Sansa Stark, lf it please Your Grace.,1,10
3214,Joffrey Baratheon," That's your Septa there. (shot of the impaled head of a woman with the traditional Septa headscarf) l'll tell you what, l'm going to give you a present. After l raise my armies and kill your traitor brother, l'm going to give you his head as well.",1,10
3215,Sansa Stark," Or maybe he'll give me yours. (looks defiantly at Joffrey, who cowers)",1,10
3216,Joffrey Baratheon," My mother tells me a king should never strike his lady. Ser Meryn.Ser Meryn strikes Sansa repeatedly with the back of his (armoured) hand, leaving her lip bloodied. Sansa notices the stone bridge Joffrey is on leads to a street some feet below. She moves forward to lunge him from the edge, but she’s stopped by the Hound.",1,10
3217,Sandor Clegane," Here, girl. (cleans her bloody lip with a rag)",1,10
3218,Joffrey Baratheon, Will you obey now? Or do you need another lesson? l'll look for you in court.,1,10
3219,Sandor Clegane," Save yourself some pain, girl. Give him what he wants.",1,10
3220,Sandor Clegane, You'll be needing that again.,1,10
3221,Jonos Bracken, The proper course is clear - pledge fealty to King Renly and move south to join our forces with his.,1,10
3222,Robb Stark, Renly is not the king.,1,10
3223,Jonos Bracken," You cannot mean to hold to Joffrey, my lord. He put your father to death.",1,10
3224,Robb Stark," That doesn't make Renly king. He's Robert's youngest brother. lf Bran can't be Lord of Winterfell before me, Renly can't be king before Stannis.",1,10
3225,Jonos Bracken, Do you mean to declare us for Stannis?,1,10
3226,Galbart Glover, Renly is not right! lf we put ourselves behind Stannis…,1,10
3227,Greatjon Umber," My Lords. My Lords! Here is what l say to these two kings. Renly Baratheon is nothing to me, nor Stannis neither. Why should they rule over me and mine from some flowery seat in the South? What do they know of the Wall or the Wolfswood? Even their gods are wrong! Why shouldn't we rule ourselves again? lt was the dragons we bowed to and now the dragons are dead! There sits the only king l mean to bend my knee to - the King in the North! (The Greatjon bows to Robb with his sword unsheathed; Robb rises)",1,10
3228,Rickard Karstark, l'll have peace on those terms. They can keep their Red Castle and their iron chair too. (bows to Robb and extends him his sword) The King in the North!,1,10
3229,Theon Greyjoy," Am l your brother, now and always?",1,10
3230,Robb Stark, Now and always.,1,10
3231,Theon Greyjoy," (takes out his sword, bows to Robb) My sword is yours in victory and defeat, from this day until my last day.",1,10
3232,Greatjon Umber, The King in the North!,1,10
3233,All, (chanting) The King in the North! The King in the North! The King in the North! The King in the North!,1,10
3234,All, (chanting) The King in the North! The King in the North! The King in the North! The King in the North!,1,10
3235,Stark Guard, Lady Stark.,1,10
