,Character,dialogue,season,chapter
98,Catelyn Stark, How much could he possibly drink? A man of his … stature.,1,1
99,Luwin, We’ve brought up eight barrels of ale from the cellar. Perhaps we’ll find out.,1,1
100,Catelyn Stark," In any case, candles.",1,1
101,Jon Snow, Why’s your mother so dead-set on us getting pretty for the king?,1,1
102,Theon Greyjoy," It’s for the queen, I bet. I hear she’s [sleek as a mink?]",1,1
103,Robb Stark, I hear the prince is a right royal prick.,1,1
104,Theon Greyjoy, Think of all those southern girls he gets to stab with his right royal prick.,1,1
105,Robb Stark," Go on, Tommy, shave him good. He’s never met a girl he likes better than his own hair.",1,1
106,Catelyn Stark," Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",1,1
107,Brann Stark, I saw the king! He’s got hundreds of people!,1,1
108,Catelyn Stark, How many times have I told you: No climbing!,1,1
109,Catelyn Stark, How many times have I told you: No climbing!,1,1
110,Brann Stark, But he’s coming right now! Down our road!,1,1
111,Catelyn Stark, I want you to promise me: No more climbing.,1,1
112,Catelyn Stark, I want you to promise me: No more climbing.,1,1
113,Brann Stark, I promise.,1,1
114,Catelyn Stark, D’you know what?,1,1
115,Brann Stark, What?,1,1
116,Catelyn Stark, You always look at your feet before you lie. Run and find your father. Tell him the king is close.,1,1
117,Catelyn Stark," Where’s Arya? Sansa, where’s your sister?",1,1
118,Eddard Stark," Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA’s helm]",1,1
119,Arya Stark, Move!,1,1
120,Eddard Stark, Your Grace.,1,1
121,Robert Baratheon, You’ve got fat.,1,1
122,Robert Baratheon, Cat!,1,1
123,Catelyn Stark, Your Grace.,1,1
124,Robert Baratheon, Nine years. Why haven’t I seen you? Where the hell have you been?,1,1
125,Eddard Stark," Guarding the North for you, Your Grace. Winterfell is yours.",1,1
126,Arya Stark, Where’s the Imp?,1,1
127,Sansa Stark, Will you shut up?,1,1
128,Robert Baratheon," Who have we here? You must be Robb. (To Sansa) My, you’re a pretty one. (To Arya) Your name is?",1,1
129,Arya Stark, Arya.,1,1
130,Arya Stark, That’s Jaime Lannister. The queen’s twin brother.,1,1
131,Sansa Stark, Would you please shut up.,1,1
132,Eddard Stark, My queen.,1,1
133,Catelyn Stark, My queen.,1,1
134,Robert Baratheon, Take me to your crypt. I want to pay my respects.,1,1
135,Cersei Lannister," We’ve been riding for a month, my love. Surely the dead can wait.",1,1
136,Robert Baratheon, Ned.,1,1
137,Arya Stark, Where’s the Imp?,1,1
138,Cersei Lannister, Where is our brother? Go find the little beast.,1,1
139,Eddard Stark, Tell me about Jon Arryn.,1,1
140,Robert Baratheon," One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",1,1
141,Eddard Stark, We both did.,1,1
142,Robert Baratheon," He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",1,1
143,Eddard Stark, Aye.,1,1
144,Robert Baratheon," Don’t look at me like that. Not his fault I didn’t listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you’re no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",1,1
145,Eddard Stark, I’m not worthy of the honor.,1,1
146,Robert Baratheon," I’m not trying to honor you. I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it’s not too late. I have a son, you have a daughter. We’ll join our Houses.",1,1
147,Tyrion Lannister, Mmh. It is true what they say about the Northern girls.,1,1
148,Roose Bolton, Did you hear the king’s in Winterfell?,1,1
149,Tyrion Lannister, I did hear something about that.,1,1
150,Roose Bolton, And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,1,1
151,Tyrion Lannister, And the other brother?,1,1
152,Roose Bolton, The queen has two brothers?,1,1
153,Tyrion Lannister, There’s the pretty one. And there’s the clever one.,1,1
154,Roose Bolton, I hear they call him the Imp.,1,1
155,Tyrion Lannister, I hear he hates that nickname.,1,1
156,Roose Bolton, Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions.,1,1
157,Tyrion Lannister, Clever girl.,1,1
158,Roose Bolton," We’ve been expecting you, Lord Tyrion.",1,1
159,Tyrion Lannister, Have you?,1,1
160,Tyrion Lannister, The gods gave me one blessing.,1,1
161,Jaime Lannister, Don’t get up.,1,1
162,Roose Bolton, M’lord.,1,1
163,Tyrion Lannister," Should I explain to you the meaning of a closed door in a whorehouse, brother?",1,1
164,Jaime Lannister," You’ve much to teach me, no doubt. But our sister craves your attention.",1,1
165,Tyrion Lannister," She has odd cravings, our sister.",1,1
166,Jaime Lannister," A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people.",1,1
167,Tyrion Lannister," I’m sorry, I’ve begun the feast a bit early. And this is the first of many courses.",1,1
168,Jaime Lannister," I thought you might say that. But since we’re short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown.",1,1
169,Tyrion Lannister, Close the door!,1,1
170,Robert Baratheon, Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,1,1
171,Eddard Stark, She was my sister. This is where she belongs.,1,1
172,Robert Baratheon, She belonged with me.,1,1
173,Robert Baratheon," In my dreams, I kill him every night.",1,1
174,Eddard Stark," It’s done, Your Grace. The Targaryens are gone.",1,1
175,Robert Baratheon, Not all of them.,1,1
176,Viserys Targaryen, Daenerys!,1,1
177,Viserys Targaryen, Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?,1,1
178,Daenerys Targaryen, We’ve been his guests for over a year and he’s never asked us for anything.,1,1
179,Viserys Targaryen," Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?",1,1
180,Daenerys Targaryen, No.,1,1
181,Viserys Targaryen," When they write the history of my reign, sweet sister, they will say it began today.",1,1
182,Maid," It’s too hot, my lady.",1,1
183,Viserys Targaryen, Where is he?,1,1
184,Illyrio, The Dothraki are not known for their punctuality.,1,1
185,Illyrio," (Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",1,1
186,Illyrio," Come forward, my dear.",1,1
187,Viserys Targaryen, Where’s he going?,1,1
188,Illyrio, The ceremony is over.,1,1
189,Viserys Targaryen, But he didn’t say anything. Did he like her?,1,1
190,Illyrio," Trust me, Your Grace. If he didn’t like her, we’d know.",1,1
191,Illyrio, It won’t be long now. Soon you will cross the Narrow Sea and take back your father’s throne. The people drink secret toasts to your health. They cry out for their true king.,1,1
192,Viserys Targaryen, When will they be married?,1,1
193,Illyrio, Soon. The Dothraki never stay still for long.,1,1
194,Viserys Targaryen, Is it true they lie with their horses?,1,1
195,Illyrio, I wouldn’t ask Khal Drogo.,1,1
196,Viserys Targaryen, Do you take me for a fool?,1,1
197,Illyrio, I take you for a king. Kings lack the caution of common men. My apologies if I’ve given offense.,1,1
198,Viserys Targaryen, I know how to play a man like Drogo. I give him a queen and he gives me an army.,1,1
199,Viserys Targaryen," So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",1,1
200,Daenerys Targaryen, I don’t know.,1,1
201,Viserys Targaryen," We go home with an army. With Khal Drogo’s army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that’s what it took.",1,1
202,Sansa Stark, Do you think Joffrey will like me? What if he thinks I’m ugly?,1,1
203,Catelyn Stark, Then he is the stupidest prince that ever lived.,1,1
204,Sansa Stark, He’s so handsome.,1,1
205,Sansa Stark, When would we be married? Soon or do we have to wait?,1,1
206,Catelyn Stark, Hush now. Your father hasn’t even said yes.,1,1
207,Sansa Stark, Why would he say no? He’d be the second most powerful man in the kingdoms.,1,1
208,Catelyn Stark, He’d have to leave home. He’d have to leave me. And so would you.,1,1
209,Sansa Stark, You left your home to come here. And I’d be queen someday. Please make father say yes.,1,1
210,Catelyn Stark, Sansa…,1,1
211,Sansa Stark," Please, please. It’s the only thing I ever wanted.",1,1
212,Benjen Stark, Is he dead yet?,1,1
213,Jon Snow, Uncle Benjen!,1,1
214,Benjen Stark, You got bigger. I rode all day. Didn’t want to leave you alone with the Lannisters. Why aren’t you at the feast?,1,1
215,Jon Snow, Lady Stark thought it might insult the royal family to seat a bastard in their midst.,1,1
216,Benjen Stark," Well, you’re always welcome on the wall. No bastard was ever refused a seat there.",1,1
217,Jon Snow, So take me with you when you go back.,1,1
218,Benjen Stark, Jon…,1,1
219,Jon Snow," Father will let me if you ask him, I know he will.",1,1
220,Benjen Stark, The Wall isn’t going anywhere.,1,1
221,Jon Snow, I’m ready to swear your oath.,1,1
222,Benjen Stark, You don’t understand what you’d be giving up. We have no families. None of us will ever father sons.,1,1
223,Jon Snow, I don’t care about that.,1,1
224,Benjen Stark," You might, if you knew what it meant. … I’d better get inside. Rescue your father from his guests. We’ll talk later.",1,1
225,Tyrion Lannister, Your uncle’s in the Night’s Watch.,1,1
226,Jon Snow, What’re you doing back there?,1,1
227,Tyrion Lannister, Preparing for a night with your family. I’ve always wanted to see the Wall.,1,1
228,Jon Snow, You’re Tyrion Lannister. The queen’s brother?,1,1
229,Tyrion Lannister," My greatest accomplishment. You – you’re Ned Stark’s bastard, aren’t you?",1,1
230,Tyrion Lannister," Did I offend you? Sorry. You are the bastard, though.",1,1
231,Jon Snow, Lord Eddard Stark is my father.,1,1
232,Tyrion Lannister," And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",1,1
233,Jon Snow, What the hell do you know about being a bastard?,1,1
234,Tyrion Lannister, All dwarves are bastards in their fathers’ eyes.,1,1
235,Benjen Stark, You at a feast -- It’s like a bear in a trap.,1,1
236,Eddard Stark, The boy I beheaded. Did you know him?,1,1
237,Benjen Stark," Of course I did. Just a lad. But he was tough, Ned. A true Ranger.",1,1
238,Eddard Stark, He was talking madness. Said the Walkers slaughtered his friends.,1,1
239,Benjen Stark, The two he was with are still missing.,1,1
240,Eddard Stark, A wildling ambush.,1,1
241,Benjen Stark, Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.,1,1
242,Eddard Stark, Winter is coming.,1,1
243,Robb Stark, Uncle Benjen.,1,1
244,Benjen Stark, Robb boy. How are ye?,1,1
245,Robb Stark, I’m good.,1,1
246,Cersei Lannister, Yes. Lovely country.,1,1
247,Catelyn Stark," I’m sure it’s very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time.",1,1
248,Cersei Lannister," Hello, little dove. But you are a beauty. How old are you?",1,1
249,Sansa Stark," Thirteen, Your Grace.",1,1
250,Cersei Lannister, You’re tall. Still growing?,1,1
251,Sansa Stark," I think so, Your Grace.",1,1
252,Cersei Lannister, And have you bled yet?,1,1
253,Sansa Stark," No, Your Grace.",1,1
254,Cersei Lannister, And your dress. Did you make it?,1,1
255,Cersei Lannister, Such talent. You must make something for me.,1,1
256,Cersei Lannister, I hear we might share a grandchild someday.,1,1
257,Catelyn Stark, I hear the same.,1,1
258,Cersei Lannister, Your daughter will do well in the capital. Such a beauty shouldn’t stay hidden up here forever.,1,1
259,Eddard Stark, Your pardon.,1,1
260,Jaime Lannister, I hear we might be neighbors soon. I hope it’s true.,1,1
